task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
51	07/42e314	-	normExonerate (12)	COMPLETED	-	2016-11-29 16:53:37.807	9ms	1ms	-	-	-	-	-	-	-	-	-	9	1	-	-	-	-	-	-
65	22/9fc4d9	14387195	similarity (14)	COMPLETED	0	2016-11-29 16:53:38.245	30.6s	312ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	8 KB	0	16	0	30566	312	1351680	11624448	1351680	11640832	8156	0
58	b9/57606c	14387198	similarity (7)	COMPLETED	0	2016-11-29 16:53:38.318	30.5s	536ms	27.0%	108.2 MB	156.3 MB	72.1 MB	107 MB	408 KB	10.8 KB	236	471	30529	536	113430528	163860480	75575296	112222208	417772	11087
62	17/fe020a	14387200	similarity (11)	COMPLETED	0	2016-11-29 16:53:38.387	30.5s	318ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	8 KB	0	16	0	30501	318	1351680	11624448	1351680	11640832	8156	0
60	f5/2181eb	14387201	similarity (9)	COMPLETED	0	2016-11-29 16:53:38.454	30.5s	1.3s	28.0%	109 MB	156.9 MB	109 MB	157.1 MB	1.7 MB	1.3 MB	588	822	30462	1303	114245632	164540416	114343936	164704256	1750442	1333758
63	1a/b8ffe8	14387202	similarity (12)	COMPLETED	0	2016-11-29 16:53:38.521	30.4s	402ms	6.0%	35.7 MB	57.6 MB	39.7 MB	61.3 MB	435.2 KB	144.5 KB	274	514	30423	402	37433344	60395520	41607168	64319488	445622	147964
55	a6/18873b	14387203	similarity (4)	COMPLETED	0	2016-11-29 16:53:38.590	30.4s	4.2s	56.0%	112.7 MB	160.9 MB	112.9 MB	161.1 MB	1.3 MB	24.3 KB	250	482	30382	4229	118132736	168689664	118394880	168968192	1399942	24909
53	27/61364c	14387205	similarity (2)	COMPLETED	0	2016-11-29 16:53:38.659	30.3s	274ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	189.9 KB	91.2 KB	312	633	30343	274	1355776	11624448	1355776	11640832	194473	93406
67	50/43378a	14387207	similarity (16)	COMPLETED	0	2016-11-29 16:53:38.727	30.3s	471ms	6.0%	72 MB	106.9 MB	35.8 MB	57.7 MB	377.3 KB	10.2 KB	232	468	30313	471	75501568	112062464	37552128	60551168	386320	10443
61	6c/987e4a	14387212	similarity (10)	COMPLETED	0	2016-11-29 16:53:38.962	30.1s	276ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	8 KB	0	16	0	30111	276	1355776	11624448	1355776	11640832	8156	0
66	22/659d24	14387215	similarity (15)	COMPLETED	0	2016-11-29 16:53:39.032	30.1s	275ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	199 KB	96.3 KB	312	634	30066	275	1355776	11624448	1355776	11640832	203799	98585
54	3d/1ead53	14387217	similarity (3)	COMPLETED	0	2016-11-29 16:53:39.099	30s	464ms	6.0%	35.7 MB	57.6 MB	35.7 MB	57.6 MB	275.3 KB	9.1 KB	244	477	30030	464	37416960	60395520	37416960	60416000	281940	9273
64	1f/3e205f	14387219	similarity (13)	COMPLETED	0	2016-11-29 16:53:39.166	30s	343ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	8 KB	0	16	0	29988	343	1351680	11624448	1351680	11640832	8158	0
52	a3/425b71	14387221	similarity (1)	COMPLETED	0	2016-11-29 16:53:39.238	29.9s	302ms	1.0%	8.5 MB	30.6 MB	23.4 MB	45.5 MB	438 KB	272 KB	363	688	29946	302	8888320	32133120	24576000	47706112	448510	278552
56	ba/1dd835	14387223	similarity (5)	COMPLETED	0	2016-11-29 16:53:39.303	30.5s	371ms	1.0%	8.5 MB	30.6 MB	25 MB	47.2 MB	180.8 KB	4.9 KB	185	450	30498	371	8880128	32133120	26251264	49451008	185188	5036
57	08/aaae43	14387226	similarity (6)	COMPLETED	0	2016-11-29 16:53:39.393	30.4s	499ms	5.0%	71.9 MB	106.7 MB	35.7 MB	57.6 MB	316.5 KB	9.6 KB	240	474	30437	499	75370496	111927296	37478400	60416000	324078	9803
59	44/db2ab9	14387229	similarity (8)	COMPLETED	0	2016-11-29 16:53:39.459	30.4s	1.8s	40.0%	110.3 MB	158.4 MB	110.5 MB	158.6 MB	829.3 KB	16.7 KB	240	475	30402	1761	115630080	166064128	115851264	166322176	849216	17125
68	ce/ca7461	14387238	similarity (17)	COMPLETED	0	2016-11-29 16:53:39.961	29.9s	236ms	1.0%	8.6 MB	30.6 MB	35.5 MB	57.4 MB	138.6 KB	6.9 KB	236	466	29942	236	9003008	32133120	37203968	60145664	141970	7062
69	8b/cc0f10	14387243	similarity (18)	COMPLETED	0	2016-11-29 16:53:40.181	30.6s	309ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	388 KB	243.6 KB	354	681	30620	309	1351680	11624448	1351680	11640832	397357	249465
70	58/b62721	14387245	similarity (19)	COMPLETED	0	2016-11-29 16:53:40.253	30.6s	645ms	0.0%	108.6 MB	156.7 MB	108.6 MB	156.7 MB	1.3 MB	516.3 KB	661	745	30590	645	113922048	164270080	113922048	164298752	1369348	528739
71	2d/2d43e4	14387249	similarity (20)	COMPLETED	0	2016-11-29 16:53:40.515	30.4s	292ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	357.3 KB	214.5 KB	349	673	30356	292	1351680	11624448	1351680	11640832	365918	219629
72	74/adc2ee	14387250	similarity (21)	COMPLETED	0	2016-11-29 16:53:40.584	30.3s	1.7s	65.0%	110.2 MB	158.4 MB	110.2 MB	158.4 MB	842.1 KB	16.8 KB	240	474	30317	1697	115589120	166060032	115589120	166084608	862278	17176
73	c0/8d6d90	14387251	similarity (22)	COMPLETED	0	2016-11-29 16:53:40.649	30.3s	297ms	0.0%	1.3 MB	11.1 MB	1.3 MB	11.1 MB	409.3 KB	251.1 KB	359	683	30280	297	1351680	11624448	1351680	11640832	419165	257077
74	e4/09e262	14387256	similarity (23)	COMPLETED	0	2016-11-29 16:53:40.862	30.1s	1.4s	27.0%	109.3 MB	157.4 MB	109.3 MB	157.5 MB	546.6 KB	14.1 KB	213	473	30098	1359	114630656	165081088	114630656	165109760	559758	14389
76	c4/24eea4	14387260	similarity (25)	COMPLETED	0	2016-11-29 16:53:40.979	30s	277ms	1.0%	8.5 MB	30.6 MB	26.5 MB	48.5 MB	135.6 KB	4.9 KB	185	450	30015	277	8892416	32133120	27783168	50814976	138846	5030
77	ff/f6a96a	14387262	similarity (26)	COMPLETED	0	2016-11-29 16:53:41.079	29.9s	230ms	0.0%	8.5 MB	30.6 MB	25.9 MB	47.8 MB	111.1 KB	5 KB	198	451	29942	230	8892416	32137216	27164672	50139136	113774	5115
78	91/43e839	14387265	similarity (27)	COMPLETED	0	2016-11-29 16:53:41.149	30.7s	344ms	1.0%	8.5 MB	30.6 MB	23.5 MB	45.5 MB	514.4 KB	318.9 KB	373	699	30653	344	8884224	32133120	24629248	47710208	526717	326584
81	0c/fb3562	14387273	similarity (30)	COMPLETED	0	2016-11-29 16:53:41.513	30.3s	527ms	6.0%	35.9 MB	57.7 MB	36 MB	57.9 MB	427.7 KB	10.9 KB	232	468	30321	527	37625856	60526592	37785600	60682240	437986	11139
83	c1/e98413	14387280	similarity (32)	COMPLETED	0	2016-11-29 16:53:41.806	30.1s	358ms	1.0%	8.5 MB	30.6 MB	28.4 MB	50.4 MB	605.2 KB	429.2 KB	410	737	30063	358	8949760	32133120	29753344	52842496	619739	439463
85	57/a57a9a	14387284	similarity (34)	COMPLETED	0	2016-11-29 16:53:41.935	30s	276ms	1.0%	8.5 MB	30.6 MB	30.9 MB	53 MB	178 KB	7.5 KB	226	464	29970	276	8941568	32133120	32387072	55545856	182238	7718
75	95/2d0f40	14387258	similarity (24)	COMPLETED	0	2016-11-29 16:53:40.914	1m 1s	5.8s	65.0%	113.8 MB	161.7 MB	113.9 MB	161.9 MB	1.5 MB	27.4 KB	256	487	60885	5766	119283712	169541632	119480320	169807872	1618832	28108
